1,Violence
2,N/a
3,N/a
4,N/a
5,N/a
6,N/a
7,N/a
8,N/a
9,N/a
10,N/a
11,N/a
12,N/a
13,N/a
14,N/a
15,N/a
16,N/a
17,Violence
18,N/a
19,N/a
20,N/a
21,N/a
22,N/a
23,N/a
24,N/a
25,Rape
26,N/a
27,N/a
28,N/a
29,N/a
30,Death
31,N/a
32,Gore
33,N/a
34,N/a
35,N/a
36,N/a
37,N/a
38,N/a
39,N/a
40,N/a
41,N/a
42,N/a
43,N/a
44,N/a
45,N/a
46,N/a
47,N/a
48,violence
50,N/a
51,N/a
52,N/a
53,N/a
54,N/a
55,N/a
56,N/a
57,N/a
58,N/a
59,N/a
60,N/a
61,N/a
62,Jump scares
63,N/a
64,N/a
65,N/a
66,N/a
67,N/a
68,N/a
69,N/a
70,N/a