1;Bryan Fuller, Michael Green
2;Dan Perrault, Tony Yacenda
3;Donald Glover
4;Robia Rashid
5;Lauren Iungerich
6;David E. Kelley
7;Jennifer Flackett, Andrew Goldberg, Nick Kroll
8;Charlie Brooker
9;Raphael Bob-Waksberg
10;Vince Gilligan
11;Ilana Glazer, Abbi Jacobson
12;Daniel J. Goor, Michael Schur
13;Zander Lehmann
14;Sharon Horgan, Rob Delaney
15;Michaela Coel
16;Rachel Bloom, Aline Brosh McKenna
17;Drew Goddard
18;Lisa McGee
19;Fred Armisen, Bill Hader, Seth Meyers
20;Laura Dern, Mike White
21;Ben York Jones, Michael Mohan
22;Phoebe Waller-Bridge
23;Nahnatchka Khan
24;David Crane, Marta Kauffman
25;David Benioff, D.B. Weiss
26;Amy Sherman-Palladino
27;Lena Dunham
28;Liz Flahive, Carly Mensch
29;Stephanie Savage, Josh Schwartz
30;Shonda Rhimes
31;Bruce Miller
32;Bryan Fuller
33;Ben Sinclair, Katja Blichfeld
34;Beau Willimon
35;Carter Bays, Craig Thomas
36;Peter Nowalk
37;Issa Rae, Larry Wilmore
38;Jennie Snyder Urman
39;John Rogers, Chris Downey
40;Amy Sherman-Palladino
41;Aziz Ansari, Alan Yang
42;Mindy Kaling
43;Sam Esmail
44;Elizabeth Meriwether
45;Lauren Iungerich, Jeremy Haft, Eddie Gonzalez
46;Greg Daniels, Michael Schur
47;John Enbom, Dan Etheridge, Paul Rudd 
48;Steven Knight
49;Maya Erskine, Anna Konkle, Sam Zvibleman
50;Fred Armisen, Carrie Brownstein, Jonathan Krisel
51;Bryan Fuller
52;Ramy Youssef, Ari Katcher, Ryan Welch
53;Josh Radnor, Marley Shelton, Auli'i Cravalho
54;Victor Fresco
55;Shonda Rhimes
56;Lana Wachowski, Lilly Wachowski, J. Michael Straczynski
57;Sarah-Violet Bliss, Charles Rogers, Michael Showalter
58;Paul Abbott, John Wells
59;Wesley Chan, Philip Wang, Todd Waldman
60;Bryan Cranston, David Shore
61;Scott Silveri
62;The Duffer Brothers
63;Emily Kapnek
64;Peter Morgan
65;Michael Schur
66;Hugh Laurie, Tom Hiddleston, Elizabeth Debicki
67;Greg Daniels, Ricky Gervais, Stephen Merchant
68;Dan Fogelman
69;Robert Carlock, Tina Fey
70;Jenji Kohan