1,Drama
2,Comedy
3,Comedy
4,Comedy
5,Comedy
6,Crime
7,Animation
8,Drama
9,Animation
10,Thriller 
11,Comedy
12,Comedy
13,Drama 
14,Comedy
15,Comedy
16,Musical
17,Drama
18,Comedy
19,Comedy
20,Drama 
21,Comedy
22,Drama
23,Comedy
24,Romance
25,Action
26,Drama
27,Comedy
28,Comedy
29,Romance 
30,Romance 
31,Thriller 
32,Drama
33,Comedy
34,Drama
35,Romance 
36,Mystery 
37,Comedy
38,Comedy
39,Drama
40,Comedy
41,Comedy
42,Comedy
43,Drama
44,Comedy
45,Comedy
46,Comedy
47,Comedy
48,Drama
49,Comedy
50,Comedy
51,Comedy
52,Comedy
53,Drama
54,Horror 
55,Thriller 
56,Drama
57,Comedy
58,Comedy
59,Comedy
60,Crime
61,Comedy
62,Drama
63,Comedy
64,Drama
65,Fantasy 
66,Mystery
67,Comedy
68,Romance 
69,Comedy
70,Crime 