American Gods;A recently released ex-convict named Shadow meets a mysterious man who calls himself Wednesday and who knows more than he first seems to about Shadow's life and past.;2017;http://www.zen134237.zen.co.uk/American_Gods_1x01_-_Pilot_%28Jan_2_2015%29.pdf;1
American Vandal;A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.;2017;http://leethomson.myzen.co.uk/American_Vandal/American_Vandal_1x01_-_The_Crime.pdf;2
Atlanta;Revolves around two cousins on their way up through the Atlanta rap scene whose opposing views on art versus commerce, success and race will make their quest anything but easy.;2016;http://scripts.tv-calling.com/script/fx-atlanta-1x01-pilot/;3
Atypical;Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.;2017;http://www.zen134237.zen.co.uk/Atypical_1x01_-_Pilot.pdf;2
Awkward;An unpopular 15-year-old gains immediate, yet unwanted, popularity at her high school when the student body mistakes an accident she has for a suicide attempt.;2011;http://www.mzp-tv.co.uk/tv_scripts/Awkward_1x01_-_Pilot.pdf;4
Big Little Lies;The apparently perfect lives of three mothers of first graders unravel to the point of murder.;2017;https://www.emmys.com/sites/default/files/collateral/BigLittleLies_ScriptCombined_1-7.pdf;5
Big Mouth;Teenage friends find their lives upended by the wonders and horrors of puberty.;2017;NULL;9
Black Mirror;An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide.;2011;http://www.zen134237.zen.co.uk/Black_Mirror/Black_Mirror_1x01_-_The_National_Anthem.pdf;9
Bojack Horseman;BoJack Horseman was the star of the hit TV show Horsin' Around in the '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.;2014;NULL;2
Breaking Bad;A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.;2008;https://filmschoolrejects.com/wp-content/uploads/2017/05/Screenplay-Breaking_Bad-Pilot.pdf;9
Broad City;Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.;2014;http://leethomson.myzen.co.uk/Broad_City_1x01_-_What_a_Wonderful_World.pdf;6
Brooklyn Nine Nine;Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.;2013;http://www.zen134237.zen.co.uk/Brooklyn_Nine-Nine/Brooklyn_Nine-Nine_1x01_-_Pilot_(Mar_19_2013).pdf;7
Casual;A new comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter.;2015;https://www.tv-calling.com/scripts/uploads/HULU%20-%20Casual%201x01%20(Pilot).pdf;9
Catastrophe;American boy Rob gets Irish girl Sharon pregnant while they hook up for a week while on a business trip to London.;2015;http://www.zen134237.zen.co.uk/Catastrophe_1x01_-_Pilot.pdf;9
Chewing Gum;The life of Tracey and the mishaps of her neighbourhood, friends and family, and of course, her boyfriend.;2015;https://drive.google.com/file/d/1XFeUH-8xGPUmqlxvs0Vnaj2yHjrpL2YW/view;9
Crazy Ex-girlfriend;A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.;2015;http://www.zen134237.zen.co.uk/Crazy_Ex-Girlfriend_1x01_-_Pilot.pdf;9
Daredevil;A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.;2015;NULL;2
Derry Girls;Following Erin and her friends as they grow up in a world of armed police in armoured Land Rovers and British Army check points in 1990s Northern Ireland and attempt to navigate the highs and lows of being teenagers.;2018;NULL;13
Documentary Now;Documentary Now parodies the current obsession with documentaries. Season one features six different stories and stylistic approaches paying tribute to the doc format.;2015;NULL;9
Enlightened;A self-destructive woman who has a spiritual awakening becomes determined to live an enlightened life, creating havoc at home and work.;2011;https://scriptpipeline.com/wp-content/uploads/2017/04/HBO-ENLIGHTENED.pdf;9
Everything Sucks!;In 1990s Oregon, members of a high school A/V club clash with the drama club.;2018;https://8flix.com/2018/03/07/netflix-everything-sucks-2018-episode-script-1-01/;9
Fleabag;A six-part comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.;2016;http://thetelevisionpilot.com/wp-content/uploads/2018/07/Fleabag_1x01.pdf;9
Fresh Off the Boat;A Taiwanese family makes their way in America during the 1990s.;2015;http://www.zen134237.zen.co.uk/Fresh_Off_the_Boat_1x01_-_Pilot.pdf;9
Friends;Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.;1994;http://www.zen134237.zen.co.uk/Friends/Friends_1x01_-_The_One_Where_Monica_Gets_a_Roommate.pdf;9
Game of Thrones;Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.;2011;http://scripts.tv-calling.com/script/hbo-game-thrones-1x01-pilot/;5
Gilmore Girls;A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.;2000;http://leethomson.myzen.co.uk/Gilmore_Girls_1x01_-_Pilot.pdf;8
Girls;A comedy about the experiences of a group of girls in their early 20s.;2012;http://www.ivanachubbuck.com/wp-content/uploads/2012/02/Girls-Pilot.pdf;9
GLOW;A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.;2017;http://leethomson.myzen.co.uk/Glow_1x01_-_Pilot.pdf;9
Gossip Girl;Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.;2007;http://leethomson.myzen.co.uk/Gossip_Girl/Gossip_Girl_1x01_-Pilot.pdf;9
Grey's Anatomy;A drama centered on the personal and professional lives of five surgical interns and their supervisors.;2005;http://leethomson.myzen.co.uk/Grey%27s_Anatomy/Grey%27s_Anatomy_1x01_-_A_Hard_Days_Night.pdf;9
Handmaid's Tale;Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.;2017;https://www.emmys.com/sites/default/files/collateral/thehandmaids-tale_offred.pdf;9
Hannibal;Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers;2013;http://livingdeadguy.com/shows/hannibal/;14
High Maintenance;A comedy that explores the private lives of unique New York individuals through a common thread: their weed deliveryman.;2016;NULL;9
House of Cards;A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.;2013;https://www.blacktvfilmcollective.org/wp-content/uploads/2017/09/House-of-Cards-Pilot-Script.pdf;2
How I Met Your Mother;A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.;2005;https://www.dailyscript.com/scripts/How_I_Met_Your_Mother_--_Pilot.pdf;9
How to Get Away With Murder;A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.;2014;http://www.zen134237.zen.co.uk/How_To_Get_Away_With_Murder_1x01_-_Pilot.pdf;9
Insecure;Follows the awkward experiences and racy tribulations of a modern-day African-American woman.;2016;NULL;9
Jane the Virgin ;A young, devout Catholic woman discovers that she was accidentally artificially inseminated.;2014;http://www.zen134237.zen.co.uk/Jane_the_Virgin_1x01_-_Pilot.pdf;10
Leverage;A crew of high-tech crooks attempt to steal from wealthy criminals and corrupt businessmen.;2008;https://www.tv-calling.com/scripts/TV_Dramas/Leverage_1x01.pdf;15
Marvelous Mrs. Maisel;A housewife in the 1950s decides to become a stand-up comic.;2017;http://www.zen134237.zen.co.uk/The_Marvelous_Mrs_Maisel_1x01_-_Pilot.pdf;12
Master of None;The personal and professional life of Dev, a 30-year-old actor in New York.;2015;https://www.emmys.com/sites/default/files/collateral/MasterOfNone_Thanksgiving-As-Aired-AY.pdf;9
Mindy Project;A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.;2012;http://www.zen134237.zen.co.uk/The_Mindy_Project_1x01_-_Pilot.pdf;7
Mr. Robot;Mr. Robot is a contemporary and culturally resonant drama about a young programmer, Elliot (Malek), who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America. Slater stars in the title role of Mr. Robot, a mysterious anarchist who recruits Elliot into an underground hacker group.;2015;http://www.zen134237.zen.co.uk/Mr_Robot_1x01_-_Pilot.pdf;16
New Girl;After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.;2011;http://scsmi-online.org/wp-content/uploads/2015/04/New-Girl-Spec-Script.pdf;9
On My Block;On My Block follows a quartet of bright, street-savvy friends who are navigating their way through high school, including all the of the triumph, pain and newness they experience along the way. Lifelong friendships are tested as Monse, Ruby, Jamal and Cesar confront the challenges of adolescence and life in their predominantly Hispanic and black neighborhood in South Central Los Angeles in this coming-of-age comedy series.;2018;http://leethomson.myzen.co.uk/On_My_Block_1x01_-_Pilot.pdf;16
Parks and Rec;The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.;2009;NULL;9
Party Down;A group of actors move to Los Angeles to make it big, but end up working as caterers.;2009;NULL;9
Peaky Blinders;A gangster family epic set in 1919 Birmingham, England, centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.;2013;http://downloads.bbc.co.uk/writersroom/scripts/Peaky-Blinders-S1-Ep1.pdf;11
Pen15; Middle school as it really happened. Erskine and Konkle play versions of themselves as 13-year-old outcasts in the year 2000, surrounded by actual 13-year-olds, where the best day of your life can turn into your worst with the stroke of a gel pen.;2019;http://scripts.tv-calling.com/script/hulu-pen15-1x01-pilot-first-day/;3
Portlandia;A sketch-comedy series that parodies life in Portland, Oregon.;2011;NULL;9
Pushing Daisies;A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress.;2007;http://livingdeadguy.com/shows/pushingdaisies/;9
Ramy;Ramy, the son of Egyptian immigrants, is on a spiritually conflicting journey in his New Jersey neighborhood, pulled between his Muslim community that thinks life is a constant test, his millennial friends who think life is full of endless possibilities, and a God who's always watching.;2019;http://leethomson.myzen.co.uk/Ramy_1x01_-_Pilot.pdf;3
Rise;A working class high school drama department and the students come alive under a passionate teacher and family man whose dedication to the program galvanizes the entire town.;2018;http://www.zen134237.zen.co.uk/Rise_1x01_-_Pilot.pdf;9
Santa Clarita Diet;Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn.;2017;http://leethomson.myzen.co.uk/Santa_Clarita_Diet_1x01_-_Pilot.pdf;9
Scandal;A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.;2012;https://www.tv-calling.com/scripts/TV_Dramas/Scandal_1x01.pdf;9
Sense8;A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.;2015;https://www.scriptslug.com/script/sense8-101-limbic-resonance-2016;2
Search Party;Search Party is a single-camera dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.;2016;http://www.zen134237.zen.co.uk/Search_Party_1x01_-_Pilot.pdf;9
Shameless;A scrappy, fiercely loyal Chicago family makes no apologies.;2011;http://www.zen134237.zen.co.uk/Shameless_1x01_-_Pilot.pdf;9
Single By 30;During their Senior year of high school, Peter and Joanna made a pact to get married if they were still single by 30. After losing touch for 12 years, Joanna re-enters Peter's life coincidentally at his 30th birthday party. Confronted with the unsettled reality of their lives, they decide to reinstate the pact to help each other improve their dating lives.;2016;NULL;9
Sneaky Pete;A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.;2015;http://www.zen134237.zen.co.uk/Sneaky_Pete_1x01_-_Pilot.pdf;9
Speechless;The family of a special-needs teen is good at dealing with the challenges he faces - and excellent at creating new ones.;2016;http://www.zen134237.zen.co.uk/Speechless_1x01_-_Pilot.pdf;9
Stranger Things;When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.;2016;https://www.dailyscript.com/scripts/STRANGER-THINGS-1x01-The-Vanishing-of-Will-Byers-2ND-PINK.pdf;2
Suburgatory;Tessa Altman is used to the big city but when her dad moves her away, she has to adapt to her new suburban life in Chatswin.;2011;https://www.tv-calling.com/scripts/TV_Comedies/Suburgatory_1x01.pdf;9
The Crown;Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.;2016;https://www.emmys.com/sites/default/files/collateral/CROWN-109-Assassins-by-Peter-Morgan.pdf;2
The Good Place;Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.;2016;http://www.zen134237.zen.co.uk/The_Good_Place_1x01_-_Pilot.pdf;9
The Night Manager;The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle.;2016;NULL;9
The Office;A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.;2005;https://backstory.net/wp-content/uploads/2016/09/The-Office-pilot-script-US-version.pdf;9
This Is Us;A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.;2016;NULL;9
Unbreakable Kimmy Schmidt;A woman is rescued from a doomsday cult and starts life over again in New York City.;2015;NULL;9
Weeds;When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is.;2005;http://www.zen134237.zen.co.uk/Weeds/Weeds_1x01_-_You_Can%27t_Miss_the_Bear.pdf;9